x,y
2.2875,-0.42185
0.76879,4.4615
-0.73421,4.3951
-2.1202,2.1464
-2.0143,-2.2558
-2.4405,-3.3946
-2.2302,2.685
1.3276,-1.9391
2.4399,-3.8591
0.77549,2.4422
2.0003,0.94749
1.606,-0.90673
-0.051178,2.6044
-0.96825,1.9683
-1.2446,-0.8456
0.066248,6.1035
-1.6718,0.65286
-2.4768,-4.1367
-2.0064,1.9417
-1.5552,2.5088
-0.053737,5.0182
1.6541,-0.36079
0.61028,0.43782
0.042543,6.0195
-2.3566,-3.0536
-1.2915,0.55767
-1.2286,0.31651
0.89368,-2.3344
-1.5262,2.9284
-1.5759,1.193
0.053858,5.9887
-0.55131,3.5741
-0.90611,3.8713
-1.9662,1.9956
-1.5805,0.055439
-2.3473,-0.35577
-0.28661,2.713
1.0561,0.75728
-2.2517,-3.5298
2.0532,1.7533
1.4011,2.1101
0.039291,3.757
1.5714,-0.80639
1.9546,1.1315
2.2103,-4.0767
2.3154,-0.31207
0.16413,2.2568
-2.0724,-0.90487
-0.74636,1.2903
1.2408,-0.32363
1.6173,-1.518
1.0468,-0.036397
1.2563,-2.286
-1.8172,-1.3249
0.99373,3.0791
-2.0944,-0.17181
1.1061,-1.3836
-0.60695,2.4646
-2.1207,3.0269
0.2493,5.3153
-1.511,2.9516
1.2204,3.5689
-1.2824,0.30469
-1.1199,0.50219
-1.1889,-1.3891
0.0023581,1.0403
2.1463,-1.8838
0.00011218,4.1165
1.8435,-1.514
0.50991,4.4375
-0.59777,2.7408
-1.9667,1.9157
-1.8197,0.77282
-1.3003,-2.1878
0.10568,5.0767
0.89851,2.1347
0.73157,4.6424
-0.10039,0.40136
-1.8834,-3.7276
1.2734,4.4184
2.3987,0.064508
-1.2125,3.7828
-0.34896,0.87789
2.2965,-2.8944
-2.0778,-0.25338
-2.3278,-1.4789
1.9326,-3.319
-1.7752,-3.596
0.58833,4.2629
-1.7906,-0.85916
-1.2097,-0.8425
-0.99377,3.5109
-1.9129,-0.29252
-0.74524,3.7362
1.7456,2.9699
1.7972,2.6094
-1.342,1.8302
1.9545,-2.9168
-0.66282,0.7379
-1.905,1.1768
-1.7381,0.88228
-0.24538,3.0789
1.5051,2.039
-2.2011,3.0197
-1.3913,2.622
2.1701,-1.1691
-0.04568,2.9086
-0.8114,1.4273
0.39852,4.818
1.3958,-0.32543
