x1,x2,y
-1.5277,-1.475,-0.88908
-0.35984,1.3261,1.0075
-0.058238,0.43041,0.64051
1.0503,-0.38813,0.52976
1.0139,-0.32039,0.48696
0.67003,-1.0953,0.11394
-0.28081,-0.13992,0.18367
0.15302,-0.53533,0.11302
1.5443,1.3003,1.5572
-0.33605,-0.11975,0.22671
1.0974,0.69289,0.97166
-0.010019,-0.43357,0.22387
-0.80767,0.94056,1.0262
0.7168,0.28473,0.99757
-0.45604,1.3857,1.1477
-1.0026,1.7147,1.3036
-0.95988,0.82682,1.0935
2.1034,-0.23299,0.55072
-0.42902,-0.71134,0.10474
0.32409,-1.1652,-0.16644
-0.10169,-0.25,0.18127
-0.14522,-0.015823,0.66351
-0.60665,-1.0416,-0.4083
-0.25781,-0.4696,-0.41926
0.29376,0.84355,1.2096
0.63373,-1.4018,-0.29422
-0.33359,-0.28902,0.17528
-0.12731,2.8579,2.0406
0.33448,-0.20754,0.33528
1.7481,0.0052716,0.77034
0.11818,-0.89918,-0.018597
-0.7327,-0.26909,0.11375
-0.64338,1.7578,1.3401
0.8558,-0.27395,0.33404
1.2475,-0.12055,0.58283
-0.15695,-0.12882,0.35369
1.0927,-0.95362,0.086385
-1.1413,-0.71992,-0.29895
0.85356,-0.63449,0.43714
-1.0561,-0.74212,-0.31667
1.7485,-0.93268,-0.058062
-0.86129,-0.64688,0.070665
-0.13064,0.71637,0.5564
-0.40352,-0.28798,0.039428
-1.9343,0.72649,0.32918
0.66731,-0.80066,-0.07392
-0.98779,-2.1559,-1.3719
0.090173,0.27629,0.64238
0.42232,-0.31975,-0.043253
1.3551,-1.8212,-0.52338
-1.4218,-1.6062,-0.38317
-0.52986,1.7934,1.2182
1.394,0.057154,0.59037
-0.4559,0.93435,1.259
-0.25984,0.94048,0.83833
-2.1673,0.49015,0.68997
-0.54663,-0.47654,0.2471
-0.95883,-1.0143,-0.29416
-0.1737,-1.8518,-0.94022
0.59907,-0.58022,0.09703
1.6031,-0.62169,0.38858
-0.71051,0.2835,0.95227
-0.95817,1.7477,1.3897
-0.75879,0.0034426,0.33621
0.27916,-0.94337,-0.18703
-2.1311,0.46894,0.14862
-0.14214,2.2116,1.8672
-1.1142,-0.46405,0.064628
-0.31903,-0.96176,0.056513
0.78914,0.52531,1.0635
-0.63165,-0.78387,-0.20241
-0.55282,0.88513,1.2595
0.2204,0.94107,1.197
0.60656,1.1854,1.106
-2.0732,0.92502,0.80294
-0.080135,0.69116,0.83283
0.19264,0.15869,0.59986
0.25894,0.084876,0.51223
0.26186,2.0691,1.9035
-1.9859,0.40577,0.81992
1.1206,1.3695,1.2686
0.30948,-0.82263,0.33297
0.36207,0.36782,0.45708
-0.36415,-1.0315,-0.20905
-1.1088,-0.28626,0.1443
0.39587,0.59838,1.0141
0.35149,-0.18352,0.23926
-0.74118,1.2028,1.1966
-1.2869,-0.082901,0.31672
0.66789,-0.14078,0.67871
1.2674,-0.65917,-0.0092403
-1.7331,-0.54597,-0.020181
1.1539,-0.061762,0.68005
-0.41135,-1.6598,-0.5818
0.53135,-0.68476,0.2147
1.4511,1.6498,1.5256
1.7139,-0.66223,0.22227
1.1151,1.4312,1.8644
-1.4822,-0.097416,0.55227
-1.0964,1.6579,1.3212
0.20631,-0.28386,0.50126
0.77863,0.79921,1.0748
-0.82907,0.59086,0.79762
0.53213,-0.99453,0.034543
-1.3895,-0.85017,-0.59938
-0.9689,-0.49183,0.10714
-0.41915,0.64111,0.67269
0.38826,0.18614,0.58249
-1.5785,1.6189,1.0879
0.28592,0.10989,0.50455
-0.54175,-0.78732,-0.16165
0.58544,1.7605,1.8524
-2.7737,0.8173,0.30351
-1.2546,-0.36938,-0.086242
-0.29816,-0.97538,0.092811
1.3581,0.3749,1.1319
-0.44336,0.73967,0.49235
-0.78376,0.83846,0.73613
-1.5186,-0.31003,0.072515
0.2451,-1.4044,-0.62087
0.03713,-1.2332,-0.4223
-0.23097,1.1483,1.0909
-0.81971,0.66768,0.55254
1.6204,-0.63961,0.25543
-0.17441,1.3979,1.2137
0.87961,1.0835,1.0701
1.1729,0.34345,1.0284
-1.0497,-0.65982,-0.034236
-0.13407,-1.3961,-0.41483
0.090574,0.6047,0.91609
0.12465,-0.42423,0.34683
1.3224,0.86974,1.4757
-0.20267,1.1469,1.4331
-1.5358,-0.65607,-0.29471
-0.2968,0.19009,0.60674
1.2784,0.5302,1.2017
-0.95753,1.0302,0.7199
2.2132,1.1863,2.0675
0.32082,-0.008561,0.56379
1.9338,-0.39911,0.78379
-0.52538,-1.3125,-0.26251
0.6817,-1.5105,-0.70614
-0.4227,-0.7108,-0.061061
-0.63038,-0.093939,0.33179
-0.099729,-0.34885,0.56563
0.14887,0.14769,0.22117
-0.097632,1.172,1.0307
1.1055,-0.97819,0.19359
-1.3959,-0.35531,-0.29655
0.61949,-0.75098,0.039155
