x1,x2,x3,x4,x5,y
0.028024,0.10001,0.35551,0.46392,0.032468,0.56361
0.93495,0.90372,0.2814,-0.45521,0.7655,1.2025
0.76931,0.17315,0.18872,-0.62861,0.73095,0.76458
0.21354,-0.00066794,0.39602,-0.6078,0.36679,0.61542
0.96907,0.58379,0.42877,-0.72682,0.064177,1.0967
1.181,0.8476,0.73993,-0.85588,1.698,1.0516
-0.083405,-0.31437,0.0055407,-0.050804,-0.086584,0.50399
0.17555,-0.17339,0.37086,0.58033,0.20685,0.92754
-1.2431,-0.49055,2.9106,1.7149,-0.76824,0.28964
0.16227,0.27954,0.70065,0.82758,0.077846,0.57127
-0.36332,0.15379,3.9078,1.9624,-1.2409,0.68945
-0.75646,-0.55903,0.81647,0.87085,0.094628,0.56874
-0.85685,-0.21053,0.055527,0.2454,-0.9354,0.36792
0.20533,0.47618,0.35379,-0.56536,0.19619,0.46885
0.23309,0.12692,1.5428,-1.244,0.34643,0.22935
0.41864,0.27505,3.8895,-1.9575,0.28671,0.53834
-0.57445,-0.6228,-0.092535,0.11792,-0.54142,0.30453
-1.5146,-0.77343,0.3613,0.64697,-1.4707,-0.34977
-2.9052,-1.5981,10.165,3.1789,0.37282,-0.87752
0.81728,0.70419,0.64808,-0.81566,1.1683,1.0335
-1.3212,-0.94922,0.061469,-0.23739,-1.8665,-0.53273
-0.47061,0.0059457,1.0186,1.1138,-0.59071,0.77805
-0.017197,0.24917,-0.099195,0.13063,-0.017999,0.46981
1.625,0.50662,4.9527,-2.2512,1.467,1.4331
-0.86946,-0.30508,1.0232,1.0604,-1.7373,0.12669
1.8855,0.88014,4.1522,-2.0393,8.598,1.2201
-0.79417,-0.46841,1.2003,1.0873,-1.7141,0.013166
1.7616,0.74377,1.1574,-1.0925,1.6893,1.0584
1.8119,0.48989,2.0071,-1.4913,1.5389,1.5252
0.67513,0.31119,0.067437,0.27389,0.80804,1.1644
-0.47826,-0.1179,1.2482,1.1813,-0.50146,0.56753
