x1,x2,x3,y
-0.21019,0.48034,0.3364,0.37495
-0.62092,0.076999,0.54611,0.56211
0.96584,-0.47547,2.0403,1.1741
-1.046,3.7853,2.5835,3.3486
1.1206,0.32424,0.62928,0.48083
-0.48971,0.33483,0.070841,0.49114
-1.0639,-1.9341,-0.83531,0.97189
1.2703,-0.33869,1.7002,0.9771
-0.50599,2.0903,-1.6091,0.65291
1.6337,-0.24386,-0.56122,0.71427
1.1326,2.4837,2.1607,0.11562
1.7845,-1.2374,2.5351,2.2117
-0.043134,3.5307,3.5943,1.8823
-0.22975,0.045676,-0.67622,0.33068
-0.13947,0.50227,0.60074,0.58805
0.63711,2.0382,3.3532,0.5823
-1.4727,1.311,3.0768,1.3866
-0.90801,0.89811,-1.6621,0.51082
-0.75287,2.5789,2.507,1.8206
-0.3906,0.33455,1.2839,0.58618
-1.7559,1.6192,1.3144,1.6778
-0.99296,-0.59888,0.73217,0.69132
-1.2511,1.0081,1.7701,1.1539
0.62078,1.0805,3.1949,0.53819
0.048611,2.1901,1.3418,0.79987
1.2498,0.81104,1.7585,0.24777
-1.4199,1.433,1.2113,1.4103
-1.5189,1.621,-0.41598,1.362
-0.64684,0.96125,1.5696,0.59102
-0.22578,0.32865,1.5586,0.73917
0.091013,2.1055,0.099761,0.56085
-1.5744,-0.061369,1.1093,0.75346
-0.94669,-0.44988,-1.1595,0.37427
0.16548,0.079248,-0.2396,0.45752
0.23993,0.040901,2.7812,0.90219
0.47286,1.7406,1.8693,0.48969
-0.47695,0.50957,0.29535,0.55713
1.2603,-0.87748,0.11531,1.3579
1.1943,0.94287,0.90776,0.10483
1.2606,1.825,1.5533,-0.10894
0.46088,-1.2981,1.9964,1.6147
0.76437,-0.020566,1.0501,0.81339
-1.7412,1.0893,2.2512,1.3256
-0.52501,0.20006,-0.95278,0.36919
-0.70214,1.1079,-0.77119,0.54262
-1.1087,0.63674,0.32559,0.70611
-1.5452,0.21508,1.5399,0.7908
0.66108,-1.1661,-0.93434,1.3663
-0.22975,-1.4008,-1.3939,1.0323
-0.68378,3.3698,0.629,2.1625
0.12173,-1.049,2.7962,1.477
0.38796,-0.82625,0.21091,1.0229
-0.10877,-0.49203,-0.013466,0.78416
0.21178,2.4267,0.032428,0.60331
-1.8128,1.2137,0.48079,1.1882
-0.45822,-0.36451,0.88849,0.67564
0.37604,6.3721,4.2457,4.6889
0.3602,-2.2638,-0.17951,2.284
-0.77131,1.07,2.1057,0.91819
1.0309,0.3713,1.3692,0.3565
0.35426,-0.85564,0.72448,0.98727
1.1568,1.0432,2.6091,0.21463
0.33579,0.18827,1.5403,0.65652
-1.4493,1.0332,-1.2354,0.67541
0.10715,2.6341,1.674,0.88823
0.38315,0.86182,2.6455,0.62219
1.2802,0.95228,3.437,0.30038
-1.2488,-0.35863,0.57653,0.57421
0.64972,-0.41649,0.79609,0.81078
-0.85616,3.6085,1.4251,2.8513
2.6263,-1.7827,1.7584,3.4814
0.62448,0.087532,-0.016154,0.5033
-0.17615,0.71756,0.63295,0.5027
0.42388,2.3358,3.2791,0.69163
-0.097872,4.4761,2.1777,2.7054
