x1,x2,x3,label
-0.10227,0.69459,-2.5085,-1
-1.5663,-0.0034375,-5.3432,-1
-0.87476,0.24805,-3.7837,-1
0.7031,-0.024634,-4.3499,-1
0.97835,-0.28284,-5.7058,-1
-2.3426,-0.22922,-6.3727,-1
-2.5542,0.13158,-3.0733,-1
1.5069,0.84188,-4.6887,-1
-3.0482,-0.41374,-2.4475,-1
-3.3292,0.36242,-2.6298,-1
0.40492,0.65575,-5.272,-1
-2.9269,-0.85027,-5.3293,-1
-0.66677,1.0732,-5.1128,-1
0.40274,0.86659,-2.7246,-1
-1.861,0.11537,-2.5366,-1
-4.1158,-0.070355,-0.88264,-1
3.3598,-0.19524,-5.1354,-1
-7.1211,-0.026164,-2.8899,-1
-3.178,0.10569,-2.8099,-1
2.4561,-0.77795,-3.53,-1
1.0013,-0.10705,-3.8212,-1
-2.3957,0.082339,-4.0629,-1
-6.9955,0.85579,-3.0738,-1
-0.3555,-0.58787,-4.1684,-1
1.384,-0.26471,-3.0463,-1
0.69221,0.39036,-1.9502,-1
-4.5628,0.13315,-4.3886,-1
-0.62808,0.86674,-3.9013,-1
0.47441,-0.84629,-3.9762,-1
-3.5458,-0.097512,-5.4971,-1
-1.6042,-0.77494,-4.6509,-1
-7.3459,-0.72374,-6.3078,-1
-1.4108,-0.10619,-2.0495,-1
0.065314,0.70495,-4.9379,-1
-3.1085,-0.28787,-1.1898,-1
-1.1585,0.566,-3.7368,-1
-2.7877,0.92352,-3.3883,-1
1.534,0.21213,-4.5628,-1
1.1456,0.65469,-3.1597,-1
-3.177,0.76897,-5.6219,-1
-4.7688,0.11162,-4.6931,-1
5.4826,-0.61033,-2.6721,-1
0.95968,0.12152,-0.019894,-1
-2.7814,0.17377,-2.7962,-1
2.8104,0.16986,-5.2111,-1
0.60406,0.74602,-1.7113,-1
0.22472,-0.12032,-4.4708,-1
1.5686,-0.23466,-3.0834,-1
-3.8289,0.46485,-5.6715,-1
-2.8577,0.71097,-4.8785,-1
0.67332,-0.072242,-5.5946,-1
-5.51,-0.52194,-3.4846,-1
-4.1504,-0.26864,-2.5238,-1
0.84953,-0.37507,-3.9957,-1
-0.84836,0.23743,-3.6544,-1
-2.9075,0.39429,-2.1226,-1
-4.2448,-0.3407,-2.5398,-1
-2.5557,0.042136,-4.5406,-1
5.3849,0.74425,-4.7777,-1
-1.8817,-0.79941,-3.7342,-1
